Technology,Gen Type,Technology Sub,Year,Levelized cost of energy,Fuel
Biopower,Biopower,Gasifier CHP,2012,0.115,Solar
Nuclear,Nuclear,,2009,0.115,Solar
Fuel Cell,Fuel Cell,,2010,0.114,Solar
Onshore,Land-Based Wind,,2009,0.114,Solar
Biopower,Biopower,Fluidized Bed,2009,0.114,Solar
Photovoltaic,Photovoltaic,Utility,2014,0.113,Solar
Fuel Cell,Fuel Cell,,2011,0.113,Solar
Offshore,Wind-Offshore,,2009,0.113,Solar
Biopower,Biopower,,2009,0.113,Solar
Biopower,Biopower,Stoker boiler,2012,0.112,Solar
Onshore,Land-Based Wind,,2009,0.111,Solar
Hydrothermal,Geothermal,Binary,2013,0.11,Solar
Biopower,Biopower,,2014,0.109,Solar
Biopower,Biopower,,2009,0.109,Solar
Biopower,Biopower,,2009,0.109,Solar
Onshore,Land-Based Wind,,2013,0.108,Solar
Distributed Generation,Distributed Generation,,2011,0.108,Solar
Biopower,Biopower,,2010,0.107,Geothermal
Onshore,Land-Based Wind,,2011,0.105,Geothermal
Onshore,Land-Based Wind,,2010,0.105,Geothermal
EGS,Geothermal,Enhanced Geothermal System,2009,0.105,Geothermal
Photovoltaic,Photovoltaic,Utility,2012,0.103,Geothermal
Solar Thermal,Solar Thermal,,2010,0.103,Geothermal
Combustion Turbine,Combustion Turbine,,2010,0.103,Geothermal
Offshore,Wind-Offshore,,2014,0.102,Geothermal
Offshore,Wind-Offshore,,2011,0.102,Geothermal
Hydrothermal,Geothermal,Flash,2010,0.102,Geothermal
Nuclear,Nuclear,,2010,0.102,Geothermal
Biopower,Biopower,,2009,0.102,Geothermal
Solar Thermal,Solar Thermal,Tower,2014,0.101,Geothermal
Fuel Cell,Fuel Cell,,2014,0.1,Geothermal
Hydrothermal,Geothermal,Binary,2011,0.1,Geothermal
Blind Geothermal,Geothermal,Blind,2011,0.1,Geothermal
Fuel Cell,Fuel Cell,,2009,0.1,Geothermal
Hydroelectric,Hydroelectric,,2011,0.098,Geothermal
Fuel Cell,Fuel Cell,,2010,0.098,Geothermal
Biopower,Biopower,,2014,0.097,Geothermal
Hydrothermal,Geothermal,Binary,2013,0.097,Geothermal
Biopower,Biopower,,2009,0.097,Geothermal
Photovoltaic,Photovoltaic,Utility,2014,0.096,Geothermal
Photovoltaic,Photovoltaic,Utility,2014,0.096,Geothermal
Fuel Cell,Fuel Cell,,2011,0.096,Geothermal
Biopower,Biopower,,2009,0.096,Geothermal
Onshore,Land-Based Wind,,2013,0.094,Geothermal
EGS,Geothermal,Enhanced Geothermal System,2013,0.094,Geothermal
EGS,Geothermal,Enhanced Geothermal System,2013,0.094,Geothermal
Onshore,Land-Based Wind,,2011,0.094,Geothermal
Biopower,Biopower,,2010,0.094,Geothermal
Hydroelectric,Hydroelectric,,2010,0.093,Geothermal
Biopower,Biopower,,2013,0.092,Geothermal
Onshore,Land-Based Wind,,2010,0.092,Geothermal
EGS,Geothermal,Enhanced Geothermal System,2010,0.092,Geothermal
Distributed Generation,Distributed Generation,Microturbine,2014,0.091,Geothermal
Hydroelectric,Hydroelectric,Conventional,2010,0.091,Geothermal
Biopower,Biopower,,2009,0.091,Geothermal
Nuclear,Nuclear,,2014,0.09,Geothermal
Hydroelectric,Hydroelectric,,2010,0.09,Geothermal
Onshore,Land-Based Wind,,2009,0.09,Geothermal
Onshore,Land-Based Wind,,2009,0.09,Geothermal
EGS,Geothermal,Enhanced Geothermal System,2009,0.09,Geothermal
IGCC,Coal,IGCC,2010,0.088,Water
Onshore,Land-Based Wind,,2009,0.088,Water
Hydrothermal,Geothermal,Binary,2009,0.088,Water
Biopower,Biopower,,2009,0.087,Water
IGCC,Coal,IGCC,2007,0.087,Water
Onshore,Land-Based Wind,,2010,0.086,Water
IGCC,Coal,IGCC,2007,0.086,Water
Onshore,Land-Based Wind,,2009,0.085,Water
Biopower,Biopower,Fluidized Bed,2009,0.085,Water
IGCC,Coal,IGCC CCS,2009,0.085,Water
Hydroelectric,Hydroelectric,,2009,0.084,Water
Biopower,Biopower,,2009,0.084,Water
IGCC,Coal,IGCC,2007,0.084,Water
Hydrothermal,Geothermal,Flash,2013,0.083,Water
Fuel Cell,Fuel Cell,,2010,0.083,Water
Distributed Generation,Distributed Generation,,2009,0.083,Water
IGCC,Coal,IGCC CCS,2009,0.083,Water
EGS,Geothermal,Enhanced Geothermal System,2014,0.082,Water
Hydrothermal,Geothermal,Flash,2013,0.082,Water
Biopower,Biopower,Stoker CHP,2012,0.082,Water
EGS,Geothermal,Enhanced Geothermal System,2009,0.082,Water
Onshore,Land-Based Wind,,2008,0.082,Water
Nuclear,Nuclear,,2010,0.081,Water
Combustion Turbine,Combustion Turbine,Advanced Combustion Turbine,2009,0.081,Water
IGCC,Coal,IGCC,2010,0.08,Water
Biopower,Biopower,Fluidized Bed,2009,0.08,Water
Onshore,Land-Based Wind,,2009,0.079,Water
Nuclear,Nuclear,,2009,0.079,Water
IGCC,Coal,IGCC,2007,0.079,Water
IGCC,Coal,IGCC,2007,0.079,Water
Hydrothermal,Geothermal,Flash,2011,0.078,Water
Blind Geothermal,Geothermal,Blind,2010,0.078,Biomass
Nuclear,Nuclear,,2010,0.078,Biomass
Biopower,Biopower,Biogas,2009,0.078,Biomass
Onshore,Land-Based Wind,,2014,0.076,Biomass
Onshore,Land-Based Wind,,2011,0.076,Bio Gas
Hydrothermal,Geothermal,Binary,2011,0.076,Biomass
Onshore,Land-Based Wind,,2009,0.076,Biomass
Combined Cycle,Combined Cycle,,2014,0.075,Bio Gas
Hydrothermal,Geothermal,Binary,2013,0.075,Biomass
Hydroelectric,Hydroelectric,,2010,0.075,Biomass
EGS,Geothermal,Enhanced Geothermal System,2009,0.075,Biomass
IGCC,Coal,IGCC,2007,0.075,Biomass
Onshore,Land-Based Wind,,2011,0.074,Biomass
Biopower,Biopower,Fluidized Bed,2011,0.074,Biomass
Onshore,Land-Based Wind,,2009,0.074,Biomass
Hydrothermal,Geothermal,Flash,2009,0.074,Biomass
Biopower,Biopower,,2009,0.074,Biomass
Biopower,Biopower,Biogas,2012,0.073,Biomass
Hydroelectric,Hydroelectric,,2011,0.073,Biomass
Biopower,Biopower,Fluidized Bed,2011,0.073,Biomass
Onshore,Land-Based Wind,,2010,0.073,Biomass
IGCC,Coal,IGCC,2007,0.073,Biomass
Onshore,Land-Based Wind,,2010,0.072,Biomass
Onshore,Land-Based Wind,,2010,0.072,Biomass
Onshore,Land-Based Wind,,2009,0.072,Biomass
Combined Cycle,Combined Cycle,,2009,0.072,Biomass
Biopower,Biopower,Fluidized Bed,2011,0.071,Biomass
Onshore,Land-Based Wind,,2010,0.071,Biomass
Combined Cycle,Combined Cycle,conventional CC,2009,0.071,Biomass
Onshore,Land-Based Wind,,2011,0.07,Biomass
Fuel Cell,Fuel Cell,,2009,0.07,Biomass
Onshore,Land-Based Wind,,2013,0.069,Biomass
Scrubbed,Coal,Advanced PC,2010,0.069,Biomass
Combined Cycle,Combined Cycle,Advanced CC CCS,2009,0.069,Biomass
Onshore,Land-Based Wind,,2009,0.068,Biomass
Small Hydropower,Small Hydro,,2009,0.068,Biomass
Hydrothermal,Geothermal,Flash,2010,0.067,Biomass
Onshore,Land-Based Wind,,2009,0.067,Biomass
Combined Cycle,Combined Cycle,Conventional CC,2009,0.067,Biomass
Onshore,Land-Based Wind,,2008,0.067,Biomass
Scrubbed,Coal,Advanced PC,2014,0.066,Biomass
Combined Cycle,Combined Cycle,,2013,0.066,Biomass
Combined Cycle,Combined Cycle,,2013,0.066,Biomass
Onshore,Land-Based Wind,,2011,0.066,Biomass
Hydroelectric,Hydroelectric,,2011,0.066,Biomass
Onshore,Land-Based Wind,,2010,0.066,Biomass
Onshore,Land-Based Wind,,2010,0.066,Biomass
Onshore,Land-Based Wind,,2010,0.066,Biomass
Biopower,Biopower,,2010,0.066,Biomass
Nuclear,Nuclear,,2011,0.065,Biomass
Onshore,Land-Based Wind,,2010,0.065,Biomass
Onshore,Land-Based Wind,,2009,0.065,Biomass
Onshore,Land-Based Wind,,2013,0.064,Biomass
Onshore,Land-Based Wind,,2012,0.064,Biomass
Biopower,Biopower,Digester,2012,0.064,Biomass
Biopower,Biopower,Fluidized Bed,2011,0.064,Biomass
Onshore,Land-Based Wind,,2010,0.064,Biomass
Onshore,Land-Based Wind,,2010,0.064,Biomass
Onshore,Land-Based Wind,,2009,0.064,Natural Gas
Onshore,Land-Based Wind,,2009,0.064,Natural Gas
Scrubbed,Coal,Advanced PC,2009,0.064,Biomass
Onshore,Land-Based Wind,,2008,0.064,Biomass
Hydrothermal,Geothermal,Flash,2011,0.063,Biomass
Biopower,Biopower,Fluidized Bed,2011,0.063,Biomass
Distributed Generation,Distributed Generation,,2011,0.063,Biomass
Biopower,Biopower,,2009,0.063,Biomass
Nuclear,Nuclear,,2009,0.063,Biomass
Onshore,Land-Based Wind,,2009,0.062,Biomass
Solar Thermal,Solar Thermal,,2009,0.062,Biomass
Combined Cycle,Combined Cycle,Advanced CC,2009,0.062,Diesel
IGCC,Coal,IGCC,2009,0.062,Diesel
IGCC,Coal,IGCC,2009,0.062,Natural Gas
Onshore,Land-Based Wind,,2013,0.061,Natural Gas
Onshore,Land-Based Wind,,2012,0.061,Natural Gas
Biopower,Biopower,Fluidized Bed,2011,0.061,Natural Gas
Nuclear,Nuclear,,2011,0.061,Natural Gas
Biopower,Biopower,Fluidized Bed,2009,0.061,Natural Gas
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.061,Natural Gas
Nuclear,Nuclear,,2009,0.061,Natural Gas
Onshore,Land-Based Wind,,2007,0.061,Natural Gas
Biopower,Biopower,Fluidized Bed,2012,0.06,Natural Gas
Biopower,Biopower,Fluidized Bed,2012,0.06,Natural Gas
Hydroelectric,Hydroelectric,,2009,0.06,Bio Gas
Hydrothermal,Geothermal,Binary,2008,0.06,Natural Gas
Hydrothermal,Geothermal,Binary,2007,0.06,Natural Gas
Hydrothermal,Geothermal,Binary,2009,0.059,Natural Gas
Scrubbed,Coal,Advanced PC,2009,0.059,Natural Gas
EGS,Geothermal,Enhanced Geothermal System,2008,0.059,Natural Gas
EGS,Geothermal,Enhanced Geothermal System,2007,0.059,Natural Gas
Hydrothermal,Geothermal,Binary,2013,0.058,Natural Gas
Onshore,Land-Based Wind,,2010,0.058,Natural Gas
Hydroelectric,Hydroelectric,,2010,0.058,Natural Gas
Onshore,Land-Based Wind,,2009,0.058,Natural Gas
Onshore,Land-Based Wind,,2009,0.058,Natural Gas
EGS,Geothermal,Enhanced Geothermal System,2009,0.058,Natural Gas
Onshore,Land-Based Wind,,2006,0.057,Natural Gas
Photovoltaic,Photovoltaic,Utility,2014,0.056,Natural Gas
Photovoltaic,Photovoltaic,Utility,2014,0.056,Natural Gas
Distributed Generation,Distributed Generation,,2011,0.056,Natural Gas
Hydrothermal,Geothermal,Binary,2009,0.056,Natural Gas
Onshore,Land-Based Wind,,2008,0.056,Natural Gas
Onshore,Land-Based Wind,,2013,0.055,Natural Gas
Biopower,Biopower,Stoker boiler,2012,0.055,Natural Gas
Biopower,Biopower,Fluidized Bed,2011,0.055,Natural Gas
Onshore,Land-Based Wind,Utility,2013,0.054,Natural Gas
Onshore,Land-Based Wind,,2013,0.054,Natural Gas
Biopower,Biopower,Fluidized Bed,2011,0.054,Natural Gas
Onshore,Land-Based Wind,Utility,2014,0.053,Natural Gas
Onshore,Land-Based Wind,,2011,0.053,Natural Gas
Combined Cycle,Combined Cycle,conventional CC,2009,0.053,Natural Gas
Combustion Turbine,Combustion Turbine,Advanced Combustion Turbine,2009,0.053,Natural Gas
Combustion Turbine,Combustion Turbine,,2009,0.053,Natural Gas
Onshore,Land-Based Wind,,2008,0.053,Natural Gas
Nuclear,Nuclear,,2007,0.053,Natural Gas
Biopower,Biopower,Fluidized Bed,2011,0.052,Natural Gas
Hydroelectric,Hydroelectric,,2010,0.052,Natural Gas
Hydroelectric,Hydroelectric,Conventional,2010,0.052,Natural Gas
Hydrothermal,Geothermal,Flash,2009,0.052,Natural Gas
Biopower,Biopower,Fluidized Bed,2009,0.052,Natural Gas
Onshore,Land-Based Wind,,2005,0.052,Natural Gas
Hydrothermal,Geothermal,Flash,2013,0.051,Natural Gas
Hydrothermal,Geothermal,Binary,2011,0.051,Natural Gas
EGS,Geothermal,Enhanced Geothermal System,2011,0.051,Natural Gas
Combined Cycle,Combined Cycle,,2010,0.051,Natural Gas
Onshore,Land-Based Wind,,2009,0.051,Natural Gas
Combined Cycle,Combined Cycle,Conventional CC,2009,0.051,Natural Gas
Onshore,Land-Based Wind,,2009,0.05,Natural Gas
Combined Cycle,Combined Cycle,,2014,0.049,Natural Gas
Distributed Generation,Distributed Generation,,2011,0.049,Natural Gas
Hydrothermal,Geothermal,,2010,0.049,Natural Gas
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2010,0.049,Natural Gas
Combined Cycle,Combined Cycle,Conventional CC,2009,0.049,Natural Gas
