,AL Date COW,AL Data COW,AK Date COW,AK Data COW,AZ Date COW,AZ Data COW,AR Date COW,AR Data COW,CA Date COW,CA Data COW,CO Date COW,CO Data COW,CT Date COW,CT Data COW,DC Date COW,DC Data COW,DE Date COW,DE Data COW,FL Date COW,FL Data COW,GA Date COW,GA Data COW,HI Date COW,HI Data COW,ID Date COW,ID Data COW,IL Date COW,IL Data COW,IN Date COW,IN Data COW,IA Date COW,IA Data COW,KS Date COW,KS Data COW,KY Date COW,KY Data COW,LA Date COW,LA Data COW,ME Date COW,ME Data COW,MD Date COW,MD Data COW,MA Date COW,MA Data COW,MI Date COW,MI Data COW,MN Date COW,MN Data COW,MS Date COW,MS Data COW,MO Date COW,MO Data COW,MT Date COW,MT Data COW,NE Date COW,NE Data COW,NV Date COW,NV Data COW,NH Date COW,NH Data COW,NJ Date COW,NJ Data COW,NM Date COW,NM Data COW,NY Date COW,NY Data COW,NC Date COW,NC Data COW,ND Date COW,ND Data COW,OH Date COW,OH Data COW,OK Date COW,OK Data COW,OR Date COW,OR Data COW,PA Date COW,PA Data COW,RI Date COW,RI Data COW,SC Date COW,SC Data COW,SD Date COW,SD Data COW,TN Date COW,TN Data COW,TX Date COW,TX Data COW,UT Date COW,UT Data COW,VT Date COW,VT Data COW,VA Date COW,VA Data COW,WA Date COW,WA Data COW,WV Date COW,WV Data COW,WI Date COW,WI Data COW,WY Date COW,WY Data COW,TOTAL
10,201707,3651.12771,201707,0.0,201707,3320.571,201707,2834.04862,201707,23.12607,201707,2874.28811,201707,9.21838,0.0,0.0,201707,113.07085,201707,3866.34532,201707,3618.36324,201707,129.74323,201707,0.0,201707,5849.74275,201707,7604.50283,201707,3076.63206,201707,2516.07564,201707,5762.72553,201707,1338.01157,201707,4.24911,201707,1383.51999,201707,0.0,201707,4385.99944,201707,2297.33073,201707,491.19377,201707,6640.99218,201707,1443.32652,201707,2379.37377,201707,321.64533,201707,23.7174,201707,114.77594,201707,1698.23559,201707,54.84333,201707,4973.27314,201707,2597.98718,201707,6264.41499,201707,1750.23266,201707,271.95327,201707,4884.43367,0.0,0.0,201707,2056.75457,201707,204.1542,201707,3355.30215,201707,13903.74796,201707,2666.38875,0.0,0.0,201707,1495.89011,201707,486.29638,201707,7250.5158,201707,3822.61796,201707,4094.94151,127905.70031
11,201706,2892.41026,201706,0.0,201706,2606.9815,201706,2272.30536,201706,26.82868,201706,2631.97717,201706,6.57,0.0,0.0,201706,12.86988,201706,3604.3849,201706,3273.89919,201706,112.73778,201706,0.0,201706,5002.85598,201706,6203.84237,201706,2820.71647,201706,1916.1742,201706,5244.77429,201706,1356.51116,201706,0.0,201706,740.31198,201706,0.0,201706,3874.16659,201706,1798.92389,201706,416.58586,201706,5878.53144,201706,667.32445,201706,1882.01489,201706,192.84526,201706,34.20967,201706,100.30827,201706,1491.74718,201706,65.69346,201706,3431.25662,201706,1903.7526,201706,5812.26955,201706,1562.29204,201706,0.0,201706,4170.18719,0.0,0.0,201706,1722.30223,201706,184.67541,201706,2894.91121,201706,12736.74632,201706,2105.33873,0.0,0.0,201706,1079.60521,201706,1.08837,201706,6432.11333,201706,3266.46553,201706,3257.2177,107688.72417
12,201705,2531.08361,201705,0.0,201705,2249.52341,201705,1551.16547,201705,14.41477,201705,2214.84934,201705,2.30736,0.0,0.0,201705,9.75964,201705,3221.36652,201705,3108.67859,201705,127.51068,201705,0.0,201705,4034.15999,201705,4856.18771,201705,2238.87602,201705,1212.53695,201705,4920.76336,201705,1209.93298,201705,0.0,201705,740.94065,201705,51.94868,201705,3943.67432,201705,1603.65375,201705,401.45792,201705,5783.0066,201705,727.37069,201705,1311.04406,201705,70.18441,201705,4.36306,201705,81.63533,201705,1070.38503,201705,80.66867,201705,2534.93011,201705,1821.00541,201705,5259.29464,201705,970.42179,201705,0.0,201705,4041.03103,0.0,0.0,201705,1680.97471,201705,186.81323,201705,2367.14511,201705,11369.75073,201705,1949.22513,0.0,0.0,201705,895.03867,201705,3.10106,201705,5475.37303,201705,2243.98625,201705,2661.14238,92832.68285
13,201704,2191.86704,201704,0.0,201704,1828.39687,201704,1596.62011,201704,19.33808,201704,1821.80966,201704,-1.98711,0.0,0.0,201704,7.70816,201704,3239.72327,201704,2766.43074,201704,107.90026,201704,0.0,201704,4180.68276,201704,4715.57494,201704,1684.45166,201704,689.01786,201704,3649.85303,201704,536.4187,201704,0.0,201704,154.72056,201704,51.77942,201704,3740.38014,201704,1136.18816,201704,377.05228,201704,4867.72982,201704,780.82962,201704,1129.85765,201704,69.61662,201704,0.59075,201704,71.5924,201704,1399.7,201704,44.36495,201704,2594.95021,201704,1813.11164,201704,5832.15179,201704,778.09769,201704,0.0,201704,3334.99273,0.0,0.0,201704,1646.89054,201704,84.94531,201704,1773.60757,201704,9710.51701,201704,1344.12553,0.0,0.0,201704,757.27307,201704,2.78229,201704,4456.26911,201704,2188.93524,201704,2308.67038,81485.52851
14,201703,2471.37693,201703,0.0,201703,2111.56265,201703,1242.14348,201703,27.06185,201703,2399.41711,201703,40.61552,0.0,0.0,201703,28.47123,201703,3121.49614,201703,2350.42202,201703,128.39239,201703,0.0,201703,4638.66951,201703,5445.45764,201703,1298.60456,201703,1217.85893,201703,4446.24106,201703,615.55091,201703,8.8838,201703,352.65496,201703,448.87006,201703,3406.4493,201703,1631.57736,201703,367.49381,201703,5293.03513,201703,919.05279,201703,1569.47136,201703,131.40202,201703,11.30683,201703,120.16807,201703,1841.21646,201703,83.98812,201703,2858.1587,201703,2214.85031,201703,6704.19603,201703,1294.52906,201703,0.0,201703,4291.19819,0.0,0.0,201703,1259.26572,201703,180.85409,201703,1432.71912,201703,8306.62374,201703,1464.33465,0.0,0.0,201703,900.11906,201703,0.44792,201703,5225.49056,201703,2482.99718,201703,2997.18696,89381.88329000003
15,201702,2522.80027,201702,0.0,201702,2445.64994,201702,1862.41799,201702,24.75212,201702,2412.60344,201702,-2.06741,0.0,0.0,201702,10.09094,201702,2746.73281,201702,1454.44517,201702,92.84442,201702,0.0,201702,4069.46166,201702,5549.73235,201702,1207.86105,201702,1422.1841,201702,4458.01789,201702,1013.77602,201702,9.9342,201702,466.84807,201702,350.222,201702,3053.09287,201702,1876.51181,201702,260.20124,201702,5025.37278,201702,1263.26794,201702,1753.23561,201702,155.63117,201702,48.6192,201702,86.12171,201702,1453.63178,201702,68.99405,201702,1593.09673,201702,2307.70276,201702,5787.99964,201702,1289.85594,201702,181.69502,201702,3323.5121,0.0,0.0,201702,1129.08775,201702,142.6208,201702,1517.57619,201702,8358.72354,201702,1915.96076,0.0,0.0,201702,596.58589,201702,316.55949,201702,5078.02256,201702,2960.37453,201702,3164.9751,86827.33599
16,201701,2528.51894,201701,52.27882,201701,2878.71329,201701,3078.04433,201701,26.51592,201701,2806.79311,201701,39.62944,0.0,0.0,201701,18.12184,201701,3284.57805,201701,2528.27409,201701,66.06928,201701,0.0,201701,5788.79019,201701,7287.6797,201701,2864.16629,201701,1992.83468,201701,5998.82455,201701,1389.11,201701,9.47442,201701,785.34268,201701,233.49782,201701,3744.56046,201701,2451.5952,201701,525.19964,201701,6422.05814,201701,1446.6481,201701,2101.68667,201701,196.1224,201701,41.11211,201701,133.82681,201701,1937.29884,201701,119.54008,201701,2880.01011,201701,2397.08775,201701,6002.45727,201701,1895.2249,201701,372.07042,201701,4388.02061,0.0,0.0,201701,1774.23262,201701,218.97192,201701,2653.21583,201701,11553.59554,201701,2609.26389,0.0,0.0,201701,1431.9947,201701,498.91212,201701,6702.96999,201701,3444.05904,201701,3900.03327,115499.02586999997
17,201612,2799.79532,201612,50.23723,201612,3055.94417,201612,2896.88202,201612,28.22063,201612,2939.1271,201612,88.73733,0.0,0.0,201612,10.33762,201612,3447.34536,201612,2923.04938,201612,125.56827,201612,2.94751,201612,5904.01066,201612,7048.48464,201612,2351.27131,201612,2266.6752,201612,6083.80566,201612,1317.29773,201612,8.92939,201612,1067.76744,201612,312.94604,201612,3462.92799,201612,2415.64553,201612,416.52095,201612,5183.96086,201612,1333.8769,201612,2120.08454,201612,72.74989,201612,154.8592,201612,119.69572,201612,1947.80914,201612,86.62463,201612,3108.55806,201612,2407.05899,201612,6758.09539,201612,2197.9563,201612,368.53374,201612,5584.77926,0.0,0.0,201612,1879.38579,201612,223.54395,201612,2758.00211,201612,12526.60728,201612,2628.85157,0.0,0.0,201612,1625.7912,201612,716.51396,201612,7006.72875,201612,2942.93535,201612,3969.36486,118746.84192
18,201611,2720.96608,201611,46.18895,201611,2179.8975,201611,1541.80908,201611,25.36034,201611,2535.4445,201611,-0.85377,0.0,0.0,201611,-2.09339,201611,2824.77905,201611,2243.32803,201611,127.41189,201611,2.88563,201611,3283.5345,201611,4853.557,201611,1524.5177,201611,1665.82797,201611,4629.06172,201611,585.07133,201611,5.21928,201611,647.73844,201611,51.00084,201611,3076.6521,201611,2062.1115,201611,396.00174,201611,4030.0317,201611,1314.3035,201611,1755.5219,201611,65.49792,201611,2.11708,201611,85.86268,201611,1884.83713,201611,22.68478,201611,1876.15419,201611,2118.54502,201611,4740.86383,201611,1447.5325,201611,0.0,201611,3737.12518,0.0,0.0,201611,1168.48691,201611,186.67932,201611,2142.17383,201611,9213.60468,201611,2218.72908,0.0,0.0,201611,631.13,201611,443.45148,201611,5047.46595,201611,2615.06561,201611,3167.18015,86940.46243000004
19,201610,3119.5319,201610,45.66189,201610,2946.6388,201610,2368.40814,201610,26.63405,201610,2365.18596,201610,-2.09768,0.0,0.0,201610,0.0,201610,3555.82038,201610,2882.46978,201610,126.26553,201610,4.29394,201610,4636.72745,201610,5581.21714,201610,2156.11079,201610,1743.3319,201610,5232.22482,201610,750.60031,201610,5.47228,201610,1107.53825,201610,61.21404,201610,2871.46596,201610,1854.47401,201610,392.75958,201610,3981.94708,201610,1406.82079,201610,1933.28211,201610,134.12724,201610,0.20042,201610,94.33447,201610,2047.44597,201610,82.17364,201610,2724.25244,201610,2293.37057,201610,5039.69572,201610,2329.26578,201610,152.72302,201610,3331.53886,0.0,0.0,201610,1015.30855,201610,25.51697,201610,1877.38802,201610,12028.74928,201610,2443.80977,0.0,0.0,201610,1063.86338,201610,657.60878,201610,4901.01705,201610,2579.1291,201610,3218.42549,99193.94371999998
20,201609,3438.18301,201609,38.1843,201609,2992.12758,201609,2878.06572,201609,27.25635,201609,2418.3665,201609,21.38574,0.0,0.0,201609,22.03626,201609,4009.60045,201609,3707.46044,201609,121.844,201609,2.20001,201609,5586.07186,201609,6082.13422,201609,2263.45669,201609,2093.16584,201609,5744.17048,201609,970.11698,201609,5.81867,201609,1491.75672,201609,99.49219,201609,3389.55995,201609,2041.62695,201609,518.74882,201609,4976.34023,201609,1479.10014,201609,1899.77128,201609,240.56971,201609,5.73264,201609,109.19638,201609,1237.87464,201609,142.54833,201609,4072.70588,201609,2167.03187,201609,6645.73691,201609,2004.25153,201609,355.47622,201609,4665.77335,0.0,0.0,201609,1604.83962,201609,140.86504,201609,3063.94818,201609,12746.147,201609,2310.18705,0.0,0.0,201609,1491.12403,201609,789.10199,201609,5472.86644,201609,3184.35332,201609,3369.39676,114137.76827000002
21,201608,3780.97371,201608,51.41638,201608,3277.89293,201608,2605.52616,201608,23.58608,201608,2902.54793,201608,11.59513,0.0,0.0,201608,108.8696,201608,4501.28699,201608,4620.22194,201608,123.95391,201608,3.59847,201608,6390.40898,201608,7229.51135,201608,3103.38664,201608,2773.05454,201608,6848.27074,201608,1393.36987,201608,4.7185,201608,1852.03149,201608,147.36278,201608,4008.53642,201608,2232.95464,201608,643.88283,201608,6381.00973,201608,1512.20446,201608,2318.53325,201608,456.98415,201608,48.30222,201608,153.4687,201608,1378.76633,201608,370.61563,201608,5241.42225,201608,2773.40198,201608,7705.96029,201608,2271.20343,201608,356.63408,201608,6101.11999,0.0,0.0,201608,2402.31752,201608,221.63785,201608,3674.6252,201608,13407.98409,201608,2596.51607,0.0,0.0,201608,1687.52076,201608,812.35657,201608,7284.08283,201608,3712.97656,201608,4126.1314,135634.73335
22,201607,3813.22148,201607,47.03753,201607,3169.30689,201607,2648.18013,201607,26.09197,201607,2972.74319,201607,9.83164,0.0,0.0,201607,120.2298,201607,4764.35223,201607,4860.4474,201607,130.99216,201607,3.03237,201607,6413.29224,201607,7261.18783,201607,3246.79962,201607,2587.41214,201607,6711.51881,201607,1667.0487,201607,5.61112,201607,1788.20522,201607,145.86593,201607,4081.78577,201607,2142.9905,201607,721.93569,201607,6351.5256,201607,1437.67511,201607,2206.1684,201607,443.91409,201607,58.57542,201607,136.9598,201607,1957.01652,201607,323.5286,201607,5273.95267,201607,2745.96525,201607,7114.32505,201607,2011.43237,201607,254.76817,201607,6266.47901,0.0,0.0,201607,2610.26166,201607,226.96529,201607,3655.80758,201607,13905.69953,201607,2535.96832,0.0,0.0,201607,1766.07974,201607,620.28001,201607,7326.75452,201607,3667.01391,201607,4080.19702,136316.43399999998
23,201606,3025.52402,201606,42.89085,201606,2716.91604,201606,2026.36807,201606,24.62869,201606,2638.1777,201606,-1.56237,0.0,0.0,201606,7.15966,201606,3997.70808,201606,4244.98888,201606,117.87118,201606,1.2553,201606,5962.07513,201606,6587.50295,201606,2753.17139,201606,2336.27005,201606,5646.9059,201606,1296.26296,201606,3.65537,201606,1317.40619,201606,117.85068,201606,3807.03646,201606,1836.53869,201606,592.43044,201606,5593.21315,201606,831.78347,201606,1848.5153,201606,217.36581,201606,0.13889,201606,98.18107,201606,2020.43226,201606,149.02087,201606,4218.42228,201606,2103.39911,201606,6118.1793,201606,1534.48483,201606,101.6835,201606,4644.41442,0.0,0.0,201606,2124.98817,201606,204.10729,201606,3471.8591,201606,12958.67778,201606,2231.50532,0.0,0.0,201606,1555.70826,201606,176.6506,201606,6256.68019,201606,3172.61011,201606,3303.33076,116034.38415
24,201605,2448.64425,201605,40.67437,201605,2202.2678,201605,898.37046,201605,27.32232,201605,2160.67563,201605,-2.07789,0.0,0.0,201605,2.31112,201605,2989.99408,201605,3150.90206,201605,127.95322,201605,0.0,201605,3657.31518,201605,5003.44279,201605,1145.34336,201605,1524.71701,201605,4559.42473,201605,825.16687,201605,4.83253,201605,562.11693,201605,25.46522,201605,2887.35107,201605,1583.10751,201605,258.0208,201605,4273.17893,201605,495.89258,201605,1426.61405,201605,67.69635,201605,0.0,201605,99.09219,201605,1222.28649,201605,125.7621,201605,1871.24965,201605,1705.49901,201605,4377.89633,201605,809.54815,201605,0.0,201605,3877.1857,0.0,0.0,201605,1445.63056,201605,155.54178,201605,2466.87054,201605,8879.69036,201605,1493.33707,0.0,0.0,201605,1228.80855,201605,1.66505,201605,4881.31214,201605,2211.59801,201605,2494.81327,81694.51027999997
25,201604,1976.01016,201604,35.92441,201604,1676.0803,201604,1194.06123,201604,25.84158,201604,1962.99127,201604,-2.40342,0.0,0.0,201604,0.0,201604,2458.09986,201604,1625.42786,201604,118.00718,201604,0.00264,201604,4127.38223,201604,5121.31485,201604,820.70206,201604,1175.35788,201604,4560.06059,201604,582.07166,201604,3.97543,201604,688.5329,201604,121.37625,201604,2284.64368,201604,1213.29366,201604,87.89932,201604,4174.78318,201604,819.24873,201604,1128.0228,201604,71.46757,201604,4.2816,201604,87.13266,201604,686.05604,201604,49.24544,201604,1378.2809,201604,1546.13093,201604,4884.36445,201604,703.23712,201604,0.0,201604,3455.24815,0.0,0.0,201604,1529.46532,201604,151.56545,201604,1722.90714,201604,6334.21842,201604,1255.86984,0.0,0.0,201604,896.25503,201604,2.66992,201604,5269.23754,201604,1775.55369,201604,2330.96642,72112.86192000001
26,201603,2369.45902,201603,54.18315,201603,1614.04531,201603,1237.35592,201603,28.33235,201603,2134.44427,201603,-2.66167,0.0,0.0,201603,0.0,201603,2018.26213,201603,1908.89215,201603,129.2062,201603,3.14329,201603,3541.82856,201603,5197.33687,201603,1386.34306,201603,1211.19699,201603,4737.80657,201603,660.61556,201603,6.06922,201603,1072.89856,201603,123.93357,201603,2883.08216,201603,1585.36698,201603,275.06782,201603,4202.57015,201603,957.84976,201603,1372.35333,201603,88.94785,201603,3.5563,201603,90.13167,201603,1107.87823,201603,42.95094,201603,1127.11113,201603,1857.23984,201603,3766.32876,201603,1006.6944,201603,0.0,201603,2365.52054,0.0,0.0,201603,1599.82422,201603,130.06227,201603,1304.1917,201603,4502.54436,201603,1528.87133,0.0,0.0,201603,1421.16105,201603,2.62452,201603,4870.56033,201603,1815.42851,201603,2831.9176,72172.52683
27,201602,2301.71523,201602,74.60423,201602,1907.56491,201602,1593.70148,201602,26.31688,201602,2169.32053,201602,13.61491,0.0,0.0,201602,80.21616,201602,2311.006,201602,2756.60409,201602,121.35043,201602,2.84794,201602,4114.10587,201602,5876.82557,201602,1923.05572,201602,1636.62443,201602,5641.40937,201602,892.42132,201602,6.53062,201602,1170.25074,201602,282.53848,201602,3430.57304,201602,1854.0835,201602,556.80517,201602,5031.19629,201602,1214.58483,201602,1691.04503,201602,154.0855,201602,63.83784,201602,118.60691,201602,1159.66871,201602,218.07043,201602,2737.25006,201602,2222.79481,201602,5224.0412,201602,1261.02534,201602,0.0,201602,4663.60023,0.0,0.0,201602,1792.486,201602,180.31751,201602,2131.46884,201602,6203.00621,201602,2077.69489,0.0,0.0,201602,1636.54134,201602,3.97698,201602,6355.71805,201602,2530.04681,201602,3289.65759,92704.80802
